date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:41	5600/5600	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Sep%202025%2012:24:53%20GMT	https://kfcindia.in/vendors/isotop/imagesloaded.pkgd.min.js	C:/My%20Web%20Sites/kfcindia/kfcindia.in/vendors/isotop/imagesloaded.pkgd.min.js	(from https://kfcindia.in/)
12:00:41	35456/35456	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Sep%202025%2012:24:53%20GMT	https://kfcindia.in/vendors/isotop/isotope.pkgd.min.js	C:/My%20Web%20Sites/kfcindia/kfcindia.in/vendors/isotop/isotope.pkgd.min.js	(from https://kfcindia.in/)
12:00:41	17408/17408	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Sep%202025%2012:24:54%20GMT	https://kfcindia.in/js/theme-dist.js	C:/My%20Web%20Sites/kfcindia/kfcindia.in/js/theme-dist.js	(from https://kfcindia.in/)
12:00:42	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Dec%202025%2006:30:41%20GMT	https://kfcindia.in/htdocs_error/style.css	C:/My%20Web%20Sites/kfcindia/kfcindia.in/htdocs_error/style.css	(from https://kfcindia.in/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.html)
12:00:42	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%22ec3bb52a00e176a7181d454dffaea219%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/My%20Web%20Sites/kfcindia/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://kfcindia.in/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.html)
12:00:43	52310/52310	---MC-	200	added ('OK')	text/javascript	date:Tue,%2015%20Jul%202025%2000:44:26%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/kfcindia/www.google-analytics.com/analytics.js	(from https://kfcindia.in/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.html)
12:00:43	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Dec%202025%2006:30:43%20GMT	https://kfcindia.in/htdocs_error/something-lost.png	C:/My%20Web%20Sites/kfcindia/kfcindia.in/htdocs_error/something-lost.png	(from https://kfcindia.in/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.html)
12:00:44	644/644	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2012:24:54%20GMT	https://kfcindia.in/fonts/fontawesome-webfont3295.html	C:/My%20Web%20Sites/kfcindia/kfcindia.in/fonts/fontawesome-webfont3295.html	(from https://kfcindia.in/css/font-awesome.min.css)
12:00:44	644/644	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2012:24:54%20GMT	https://kfcindia.in/fonts/fontawesome-webfontd41d.html	C:/My%20Web%20Sites/kfcindia/kfcindia.in/fonts/fontawesome-webfontd41d.html	(from https://kfcindia.in/css/font-awesome.min.css)
12:00:44	650/650	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2012:24:54%20GMT	https://kfcindia.in/fonts/fontawesome-webfont3295-2.html	C:/My%20Web%20Sites/kfcindia/kfcindia.in/fonts/fontawesome-webfont3295-2.html	(from https://kfcindia.in/css/font-awesome.min.css)
